empresa,faturamento_empresa_brl,produto,tipo_cliente,mercado_principal,indice_concorrencia_1a5,indice_valor_agregado_1a5,margem_media_percentual,indice_complexidade_produtiva_1a5,indice_capex_1a5,indice_escalabilidade_1a5,indice_exigencia_regulatoria_1a5,certificacoes_principais,indice_compatibilidade_refugo_1a5,indice_compatibilidade_operacao_fazenda_1a5
Bunge Brasil,95000000000.0,Bebida alcoólica / fermentado,B2B,Interno,2.0,5.0,19.19,5.0,4.0,1.0,5.0,Nenhuma,3.0,2.0
Duas Rodas,4200000000.0,Pó de manga (spray-dried),B2B,Externo,4.0,2.5,19.77,3.0,3.0,2.0,2.0,Nenhuma,4.0,2.0
Duas Rodas,4200000000.0,Concentrado de manga,B2B,Ambos,3.0,3.0,20.53,1.0,4.0,5.0,3.0,ANVISA,1.0,1.0
Ambev (bebidas),72000000000.0,Snack de manga desidratada,B2C,Interno,2.0,2.5,28.59,2.0,5.0,3.0,3.0,ISO/HACCP,3.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Geleia/compota,B2B,Externo,2.0,3.0,44.65,3.0,2.0,4.0,3.0,ISO/HACCP,2.0,2.0
Fazenda Sol do Vale,180000000.0,Ração / ingrediente para ração animal,B2B,Interno,2.0,3.0,37.24,2.0,2.0,5.0,4.0,nao informado,5.0,4.0
Duas Rodas,4200000000.0,Pectina,B2B,Interno,3.0,3.5,47.92,4.0,2.0,4.0,3.0,MAPA,1.0,1.0
Duas Rodas,4200000000.0,Polpa congelada,B2B,Interno,2.0,3.0,42.77,5.0,3.0,2.0,1.0,MAPA,1.0,1.0
nao informado,9000000000.0,Pectina,B2B,Ambos,3.0,1.0,25.78,1.0,4.0,2.0,1.0,nao informado,3.0,1.0
BRF Ingredients,53000000000.0,Biogás / energia,B2B,Externo,2.0,3.0,46.45,4.0,2.0,3.0,2.0,ISO/HACCP,3.0,1.0
Fazenda Sol do Vale,180000000.0,Subproduto industrial de bagaço processado,B2B,Externo,4.0,3.5,30.66,4.0,3.0,4.0,3.0,ISO/HACCP,4.0,3.0
Cargill Brasil,115000000000.0,Ingrediente antioxidante,nao informado,nao informado,1.0,2.5,25.8,3.0,5.0,1.0,2.0,MAPA,2.0,1.0
Cutrale,30000000000.0,Aroma / extrato natural,B2B,Externo,2.0,2.0,34.05,3.0,3.0,1.0,1.0,Nenhuma,1.0,3.0
VerdePulp Brasil,310000000.0,Base cosmética (extrato),B2B,Interno,3.0,3.5,34.83,3.0,3.0,1.0,4.0,ISO/HACCP,1.0,2.0
BRF Ingredients,53000000000.0,Molho agridoce / culinário,B2B,Interno,2.0,3.0,33.65,2.0,3.0,3.0,3.0,Nenhuma,2.0,2.0
MangaTech Foods,4200000000.0,Subproduto industrial de bagaço processado,nao informado,Ambos,5.0,4.0,44.16,5.0,1.0,3.0,3.0,nao informado,1.0,1.0
Cutrale,30000000000.0,Manga desidratada em pedaços,B2B,Interno,3.0,2.0,36.89,3.0,5.0,4.0,1.0,ISO/HACCP,3.0,1.0
TropFruit Ingredients,650000000.0,Chutney de manga,B2B,Interno,2.0,2.5,27.93,3.0,3.0,3.0,2.0,ISO/HACCP,4.0,1.0
TropFruit Ingredients,650000000.0,Esfoliante natural,B2B,Ambos,3.0,3.0,24.4,4.0,5.0,5.0,2.0,MAPA,2.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Geleia/compota,B2B,Interno,3.0,2.5,43.99,4.0,3.0,3.0,1.0,MAPA,3.0,4.0
nao informado,650000000.0,Polpa congelada,B2C,Ambos,3.0,2.0,33.9,3.0,4.0,4.0,1.0,Nenhuma,3.0,2.0
BRF Ingredients,53000000000.0,Fibra alimentar de manga,B2B,nao informado,3.0,2.5,32.85,2.0,2.0,2.0,3.0,Nenhuma,2.0,3.0
JBS Ingredients,375000000000.0,Pectina,B2B,Externo,4.0,3.5,24.31,4.0,3.0,3.0,3.0,Nenhuma,2.0,1.0
Cutrale,30000000000.0,Fibra alimentar de manga,B2B,Interno,3.0,2.5,40.47,4.0,2.0,4.0,1.0,ISO/HACCP,1.0,2.0
Duas Rodas,4200000000.0,nao informado,B2B,Interno,1.0,4.0,27.93,4.0,3.0,4.0,4.0,MAPA,2.0,3.0
Citrosuco,25000000000.0,Molho agridoce / culinário,B2B,Interno,1.0,4.5,33.1,4.0,4.0,5.0,5.0,MAPA,4.0,3.0
Cargill Brasil,115000000000.0,Aroma / extrato natural,B2C,Interno,4.0,1.5,35.24,2.0,5.0,4.0,1.0,ISO/HACCP,2.0,1.0
BRF Ingredients,53000000000.0,Polpa congelada,B2B,Ambos,3.0,2.0,17.56,3.0,2.0,3.0,1.0,ANVISA,1.0,1.0
Kerry do Brasil,9000000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,3.0,2.5,26.12,3.0,1.0,3.0,2.0,Nenhuma,4.0,2.0
Citrosuco,25000000000.0,Snack de manga desidratada,B2C,Externo,3.0,3.0,27.93,3.0,1.0,2.0,3.0,Nenhuma,3.0,5.0
MangaVale Alimentos,480000000.0,Purê de manga asséptico,B2B,Interno,1.0,2.5,39.58,3.0,1.0,3.0,2.0,Nenhuma,1.0,4.0
Cargill Brasil,115000000000.0,Aroma / extrato natural,B2B,Ambos,3.0,2.5,41.38,2.0,3.0,5.0,3.0,Internacional,1.0,3.0
Kerry do Brasil,9000000000.0,Purê de manga asséptico,B2B,Externo,4.0,2.5,25.74,3.0,4.0,3.0,2.0,Nenhuma,1.0,1.0
JBS Ingredients,375000000000.0,Manga desidratada em pedaços,B2B,Externo,5.0,3.0,41.21,3.0,2.0,3.0,3.0,Nenhuma,1.0,1.0
Ambev (bebidas),72000000000.0,Pó de manga (spray-dried),B2B,Ambos,1.0,2.5,38.14,3.0,4.0,4.0,2.0,MAPA,1.0,3.0
AgroDoce Nordeste,220000000.0,Sorbet / picolé,B2B,Interno,3.0,3.0,25.57,3.0,2.0,3.0,3.0,Nenhuma,4.0,1.0
MangaVale Alimentos,480000000.0,Concentrado de manga,B2B,Interno,3.0,4.0,39.2,5.0,1.0,2.0,3.0,ISO/HACCP,3.0,3.0
Citrosuco,25000000000.0,Concentrado de manga,B2C,Interno,5.0,4.0,43.01,4.0,3.0,4.0,4.0,Nenhuma,1.0,2.0
Bunge Brasil,95000000000.0,Base cosmética (extrato),B2C,Ambos,4.0,2.5,22.67,3.0,2.0,1.0,2.0,Nenhuma,1.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Concentrado de manga,B2B,Externo,3.0,1.5,10.38,2.0,3.0,2.0,1.0,nao informado,2.0,5.0
Cargill Brasil,115000000000.0,Cubos IQF,B2B,Interno,3.0,3.5,40.63,4.0,3.0,4.0,3.0,MAPA,1.0,2.0
Duas Rodas,4200000000.0,Geleia/compota,B2B,Interno,2.0,3.0,31.82,2.0,2.0,3.0,4.0,Nenhuma,5.0,3.0
Ambev (bebidas),72000000000.0,Fragrância para perfumaria,B2B,nao informado,5.0,3.0,41.26,2.0,3.0,1.0,4.0,Nenhuma,1.0,1.0
Kerry do Brasil,9000000000.0,Esfoliante natural,B2C,Interno,5.0,3.0,39.0,4.0,3.0,2.0,2.0,Nenhuma,2.0,3.0
MangaVale Alimentos,480000000.0,Bebida funcional com manga,B2B,Interno,1.0,2.5,17.12,3.0,3.0,3.0,3.0,MAPA,3.0,1.0
Louis Dreyfus Company Brasil,18000000000.0,Manga desidratada em pedaços,B2C,Externo,3.0,1.5,26.15,1.0,1.0,1.0,2.0,MAPA,1.0,3.0
Bunge Brasil,95000000000.0,Molho agridoce / culinário,B2B,Interno,4.0,3.0,11.66,4.0,4.0,4.0,2.0,MAPA,3.0,2.0
BioManga Circular,120000000.0,Polpa congelada,B2C,Interno,2.0,3.0,27.93,4.0,3.0,3.0,4.0,Internacional,2.0,3.0
AgroDoce Nordeste,220000000.0,Concentrado de manga,B2B,Interno,3.0,2.5,12.35,3.0,2.0,3.0,2.0,MAPA,3.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Esfoliante natural,B2C,Interno,3.0,1.5,37.84,1.0,5.0,4.0,2.0,Nenhuma,1.0,4.0
Kerry do Brasil,9000000000.0,Ração / ingrediente para ração animal,B2C,Interno,2.0,2.5,23.43,2.0,2.0,2.0,3.0,Nenhuma,3.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Fibra alimentar de manga,B2B,Interno,3.0,3.0,40.79,3.0,3.0,3.0,3.0,MAPA,1.0,2.0
VerdePulp Brasil,310000000.0,Bebida alcoólica / fermentado,B2B,Interno,4.0,3.5,34.89,5.0,3.0,4.0,2.0,Nenhuma,4.0,2.0
BioManga Circular,120000000.0,Bebida funcional com manga,B2B,Ambos,5.0,2.0,27.93,3.0,3.0,3.0,1.0,ISO/HACCP,3.0,1.0
TropFruit Ingredients,650000000.0,Subproduto industrial de bagaço processado,B2B,Ambos,2.0,2.0,32.55,1.0,1.0,2.0,3.0,nao informado,4.0,2.0
JBS Ingredients,375000000000.0,Fragrância para perfumaria,B2B,Externo,2.0,2.5,18.83,2.0,4.0,3.0,3.0,MAPA,4.0,2.0
Kerry do Brasil,9000000000.0,Chutney de manga,B2B,Externo,3.0,2.0,22.72,2.0,3.0,2.0,2.0,ISO/HACCP,1.0,2.0
Ambev (bebidas),72000000000.0,Geleia/compota,B2C,Interno,3.0,3.5,31.29,4.0,5.0,4.0,3.0,ISO/HACCP,1.0,3.0
AgroDoce Nordeste,220000000.0,Base cosmética (extrato),B2B,Ambos,2.0,3.5,28.36,3.0,2.0,4.0,4.0,MAPA,1.0,4.0
MangaVale Alimentos,480000000.0,Pectina,B2B,Externo,3.0,2.5,24.62,2.0,2.0,3.0,3.0,nao informado,2.0,3.0
Citrosuco,25000000000.0,Purê de manga asséptico,B2B,Interno,2.0,2.5,20.54,3.0,3.0,3.0,2.0,Nenhuma,4.0,1.0
Cargill Brasil,115000000000.0,Fragrância para perfumaria,B2B,Interno,4.0,2.0,18.17,1.0,1.0,5.0,3.0,ISO/HACCP,1.0,4.0
VerdePulp Brasil,310000000.0,Corante natural,B2B,Externo,1.0,3.0,11.09,3.0,2.0,2.0,3.0,Nenhuma,2.0,5.0
MangaTech Foods,760000000.0,Corante natural,B2B,Interno,3.0,3.0,34.31,3.0,3.0,3.0,3.0,ANVISA,2.0,1.0
NordFruit Export,540000000.0,Subproduto industrial de bagaço processado,B2B,nao informado,3.0,3.5,39.44,4.0,4.0,2.0,3.0,Nenhuma,1.0,1.0
Duas Rodas,4200000000.0,Sorbet / picolé,B2B,Interno,2.0,3.5,31.36,3.0,3.0,3.0,4.0,ISO/HACCP,2.0,1.0
JBS Ingredients,375000000000.0,Polpa congelada,B2B,Interno,4.0,3.5,27.93,4.0,5.0,3.0,3.0,ANVISA,1.0,5.0
MangaTech Foods,760000000.0,Óleo / manteiga de semente de manga,B2B,Ambos,3.0,3.0,37.09,4.0,3.0,3.0,2.0,Nenhuma,1.0,3.0
BRF Ingredients,53000000000.0,Cubos IQF,B2B,Interno,1.0,3.0,39.63,3.0,2.0,2.0,5.0,Nenhuma,3.0,1.0
Cutrale,30000000000.0,Purê de manga asséptico,B2C,Ambos,3.0,2.5,33.25,2.0,3.0,4.0,3.0,Nenhuma,3.0,2.0
Ambev (bebidas),72000000000.0,Manga desidratada em pedaços,B2B,Ambos,3.0,3.0,38.05,5.0,4.0,3.0,1.0,ANVISA,1.0,4.0
MangaVale Alimentos,480000000.0,Molho agridoce / culinário,B2B,Interno,5.0,2.0,34.83,3.0,5.0,4.0,1.0,MAPA,3.0,2.0
Citrosuco,25000000000.0,Base cosmética (extrato),B2C,Interno,3.0,3.0,12.73,3.0,1.0,4.0,3.0,MAPA,4.0,3.0
Citrosuco,25000000000.0,Pó de manga (spray-dried),B2B,nao informado,3.0,3.0,14.44,4.0,1.0,4.0,2.0,Internacional,5.0,3.0
Duas Rodas,4200000000.0,Bebida alcoólica / fermentado,B2B,Interno,5.0,3.0,16.97,4.0,5.0,4.0,2.0,ANVISA,2.0,5.0
MangaVale Alimentos,480000000.0,Suco pronto (NFC),B2B,Interno,1.0,2.0,39.21,3.0,4.0,2.0,1.0,ANVISA,2.0,5.0
Cargill Brasil,115000000000.0,Ração / ingrediente para ração animal,B2C,Interno,3.0,3.0,12.22,3.0,3.0,3.0,3.0,ANVISA,4.0,2.0
JBS Ingredients,375000000000.0,Sorbet / picolé,B2B,Externo,3.0,3.0,30.85,2.0,2.0,3.0,2.0,ISO/HACCP,1.0,4.0
BRF Ingredients,53000000000.0,Corante natural,B2B,Ambos,5.0,3.0,19.5,4.0,3.0,2.0,2.0,Nenhuma,5.0,5.0
Ambev (bebidas),72000000000.0,Ingrediente antioxidante,B2B,Interno,2.0,2.0,18.31,2.0,2.0,5.0,2.0,MAPA,1.0,4.0
TropFruit Ingredients,650000000.0,Polpa congelada,nao informado,Interno,2.0,2.0,9.75,2.0,5.0,4.0,2.0,ISO/HACCP,1.0,1.0
BioManga Circular,4200000000.0,Óleo / manteiga de semente de manga,B2C,Externo,2.0,3.5,33.6,4.0,4.0,2.0,3.0,MAPA,1.0,2.0
Ambev (bebidas),72000000000.0,Óleo / manteiga de semente de manga,B2C,Interno,3.0,2.5,27.93,3.0,4.0,1.0,2.0,ANVISA,4.0,3.0
JBS Ingredients,375000000000.0,Biogás / energia,B2C,Interno,2.0,3.0,14.83,1.0,4.0,2.0,5.0,Nenhuma,3.0,5.0
Ambev (bebidas),72000000000.0,Bebida funcional com manga,B2C,Interno,3.0,1.5,34.15,2.0,3.0,3.0,1.0,Internacional,3.0,2.0
TropFruit Ingredients,650000000.0,Cubos IQF,B2B,Ambos,3.0,3.5,21.34,4.0,3.0,1.0,3.0,ANVISA,1.0,5.0
AgroDoce Nordeste,4200000000.0,Ingrediente antioxidante,B2B,Interno,5.0,3.0,49.92,3.0,3.0,5.0,5.0,Internacional,2.0,1.0
Kerry do Brasil,9000000000.0,Concentrado de manga,B2B,Externo,4.0,2.0,30.72,2.0,5.0,4.0,2.0,ANVISA,2.0,2.0
NordFruit Export,540000000.0,Base para néctar,B2B,Ambos,2.0,2.0,23.49,3.0,2.0,1.0,2.0,Nenhuma,3.0,2.0
nao informado,480000000.0,Molho agridoce / culinário,B2B,Interno,4.0,2.5,42.51,3.0,3.0,1.0,2.0,ISO/HACCP,4.0,5.0
Fazenda Sol do Vale,180000000.0,Base para néctar,B2C,Externo,2.0,3.0,34.61,1.0,1.0,2.0,5.0,ISO/HACCP,1.0,1.0
BRF Ingredients,53000000000.0,Bebida funcional com manga,B2B,Interno,1.0,3.0,46.18,3.0,3.0,5.0,3.0,MAPA,2.0,3.0
Kerry do Brasil,9000000000.0,Chutney de manga,B2B,Externo,2.0,3.0,27.93,3.0,4.0,2.0,3.0,MAPA,2.0,1.0
NordFruit Export,540000000.0,Base para néctar,B2B,Interno,3.0,2.5,21.22,3.0,4.0,3.0,2.0,MAPA,1.0,2.0
Cutrale,4200000000.0,Ingrediente antioxidante,B2B,Interno,5.0,2.0,34.04,3.0,1.0,4.0,1.0,ISO/HACCP,1.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Base para néctar,B2B,Interno,4.0,2.5,21.95,2.0,1.0,3.0,3.0,MAPA,4.0,2.0
MangaTech Foods,760000000.0,Geleia/compota,B2B,Interno,4.0,2.5,44.45,3.0,3.0,3.0,2.0,Nenhuma,1.0,2.0
MangaVale Alimentos,480000000.0,Manga desidratada em pedaços,nao informado,Interno,3.0,5.0,30.96,5.0,1.0,3.0,5.0,Nenhuma,2.0,2.0
Kerry do Brasil,9000000000.0,Purê de manga asséptico,B2C,Interno,3.0,3.5,32.12,4.0,1.0,2.0,3.0,ISO/HACCP,3.0,3.0
Kerry do Brasil,9000000000.0,Concentrado de manga,B2B,Externo,3.0,3.0,42.29,3.0,2.0,2.0,3.0,ISO/HACCP,4.0,1.0
Bunge Brasil,95000000000.0,Base para néctar,B2B,Interno,3.0,2.5,25.07,3.0,3.0,5.0,2.0,Nenhuma,1.0,3.0
BioManga Circular,120000000.0,Suco pronto (NFC),B2B,Ambos,5.0,2.5,30.72,3.0,1.0,5.0,2.0,Nenhuma,2.0,2.0
NordFruit Export,540000000.0,Pectina,B2B,Interno,5.0,2.0,13.14,1.0,1.0,1.0,3.0,Nenhuma,4.0,1.0
Cargill Brasil,115000000000.0,Base cosmética (extrato),nao informado,Externo,2.0,4.0,39.4,3.0,2.0,4.0,3.0,MAPA,1.0,3.0
Duas Rodas,4200000000.0,Ingrediente antioxidante,B2C,Interno,3.0,2.5,34.03,1.0,1.0,3.0,4.0,Internacional,2.0,3.0
NordFruit Export,540000000.0,Esfoliante natural,B2B,Interno,5.0,4.0,19.33,5.0,4.0,3.0,3.0,ISO/HACCP,5.0,1.0
TropFruit Ingredients,650000000.0,Chutney de manga,B2C,Interno,3.0,2.0,18.52,2.0,4.0,4.0,3.0,ISO/HACCP,4.0,3.0
Citrosuco,25000000000.0,Base cosmética (extrato),nao informado,Externo,3.0,3.5,25.94,3.0,3.0,3.0,4.0,MAPA,4.0,4.0
MangaVale Alimentos,480000000.0,nao informado,B2B,Interno,4.0,3.5,13.56,3.0,4.0,4.0,4.0,MAPA,4.0,3.0
nao informado,760000000.0,Biogás / energia,B2B,Ambos,2.0,3.0,39.71,3.0,1.0,4.0,3.0,ANVISA,4.0,1.0
TropFruit Ingredients,650000000.0,Ingrediente antioxidante,B2B,Interno,1.0,3.0,27.55,2.0,4.0,4.0,3.0,ANVISA,3.0,1.0
Duas Rodas,4200000000.0,Subproduto industrial de bagaço processado,B2C,Externo,2.0,2.5,16.73,3.0,3.0,4.0,2.0,MAPA,2.0,3.0
BRF Ingredients,53000000000.0,Bebida alcoólica / fermentado,B2B,Ambos,1.0,2.5,26.22,3.0,4.0,3.0,2.0,ANVISA,1.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Suco pronto (NFC),B2B,Ambos,2.0,2.5,42.39,3.0,3.0,1.0,2.0,ANVISA,2.0,3.0
Duas Rodas,4200000000.0,Base para néctar,B2C,Interno,3.0,3.0,12.25,5.0,2.0,4.0,1.0,ISO/HACCP,2.0,4.0
TropFruit Ingredients,650000000.0,Biogás / energia,B2C,Externo,3.0,1.5,10.96,1.0,2.0,3.0,2.0,MAPA,1.0,4.0
Cargill Brasil,115000000000.0,Snack de manga desidratada,B2B,Ambos,5.0,4.0,14.06,5.0,1.0,2.0,3.0,ISO/HACCP,2.0,3.0
Louis Dreyfus Company Brasil,18000000000.0,Chutney de manga,B2B,Interno,3.0,2.0,29.05,1.0,3.0,4.0,3.0,MAPA,2.0,2.0
NordFruit Export,540000000.0,Bebida funcional com manga,B2B,Interno,5.0,4.0,27.93,4.0,5.0,4.0,4.0,Nenhuma,1.0,4.0
AgroDoce Nordeste,220000000.0,Corante natural,B2C,Interno,3.0,4.0,45.01,3.0,1.0,3.0,5.0,MAPA,1.0,4.0
AgroDoce Nordeste,220000000.0,Pectina,B2B,Interno,4.0,2.0,13.92,1.0,4.0,2.0,3.0,MAPA,2.0,1.0
Bunge Brasil,95000000000.0,Esfoliante natural,B2B,Interno,5.0,4.0,17.34,3.0,2.0,1.0,5.0,Nenhuma,4.0,2.0
Bunge Brasil,95000000000.0,Chutney de manga,B2B,Ambos,3.0,3.5,20.83,5.0,3.0,3.0,2.0,ISO/HACCP,2.0,1.0
BRF Ingredients,53000000000.0,Molho agridoce / culinário,B2C,Interno,4.0,2.5,10.07,4.0,2.0,3.0,1.0,Internacional,1.0,2.0
Duas Rodas,4200000000.0,Manga desidratada em pedaços,B2B,Interno,1.0,2.5,16.88,2.0,4.0,1.0,3.0,MAPA,3.0,2.0
BRF Ingredients,53000000000.0,Manga desidratada em pedaços,B2B,Externo,4.0,3.0,13.37,4.0,3.0,3.0,2.0,ISO/HACCP,3.0,1.0
Bunge Brasil,95000000000.0,Sorbet / picolé,B2C,Ambos,4.0,4.0,31.11,3.0,1.0,2.0,5.0,MAPA,1.0,4.0
AgroDoce Nordeste,220000000.0,Cubos IQF,B2B,Ambos,3.0,4.0,15.71,3.0,3.0,2.0,5.0,ISO/HACCP,4.0,5.0
TropFruit Ingredients,650000000.0,Biogás / energia,B2B,Ambos,1.0,2.5,25.63,2.0,1.0,4.0,3.0,nao informado,1.0,1.0
JBS Ingredients,375000000000.0,Corante natural,B2B,Interno,4.0,2.0,40.49,3.0,5.0,2.0,1.0,MAPA,4.0,3.0
nao informado,310000000.0,Snack de manga desidratada,B2B,Ambos,3.0,2.5,27.93,4.0,1.0,2.0,1.0,Nenhuma,1.0,2.0
Cargill Brasil,115000000000.0,nao informado,B2C,Interno,5.0,2.5,38.91,3.0,4.0,3.0,2.0,ANVISA,2.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Ração / ingrediente para ração animal,B2C,Interno,4.0,2.0,42.36,2.0,2.0,5.0,2.0,Nenhuma,4.0,4.0
BRF Ingredients,53000000000.0,Bebida alcoólica / fermentado,B2C,Ambos,3.0,2.5,22.76,2.0,3.0,1.0,3.0,Nenhuma,2.0,3.0
BioManga Circular,120000000.0,Base para néctar,B2C,Ambos,4.0,4.5,48.49,5.0,3.0,1.0,4.0,ANVISA,3.0,2.0
MangaTech Foods,760000000.0,Geleia/compota,B2C,Interno,1.0,1.5,27.93,2.0,1.0,2.0,1.0,Nenhuma,1.0,1.0
Duas Rodas,4200000000.0,nao informado,B2B,Externo,5.0,4.0,46.64,5.0,3.0,3.0,3.0,ISO/HACCP,2.0,3.0
VerdePulp Brasil,310000000.0,Molho agridoce / culinário,B2B,Externo,3.0,3.5,29.05,3.0,2.0,3.0,3.0,Nenhuma,2.0,2.0
Kerry do Brasil,9000000000.0,Snack de manga desidratada,B2B,Interno,2.0,2.5,40.17,3.0,1.0,3.0,2.0,Internacional,2.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Molho agridoce / culinário,B2C,Interno,3.0,1.5,10.05,1.0,4.0,3.0,3.0,Nenhuma,3.0,1.0
nao informado,53000000000.0,Ingrediente antioxidante,B2B,Externo,4.0,2.5,19.69,2.0,2.0,1.0,3.0,Internacional,4.0,5.0
BRF Ingredients,53000000000.0,Geleia/compota,B2B,Interno,5.0,2.0,22.51,3.0,3.0,2.0,1.0,ANVISA,4.0,2.0
nao informado,650000000.0,Suco pronto (NFC),B2C,Externo,3.0,2.0,26.89,2.0,3.0,3.0,2.0,Internacional,1.0,3.0
VerdePulp Brasil,310000000.0,Ração / ingrediente para ração animal,B2B,Externo,4.0,3.0,19.35,4.0,3.0,3.0,2.0,Nenhuma,5.0,3.0
Kerry do Brasil,9000000000.0,Sorbet / picolé,B2C,Ambos,2.0,3.5,27.93,5.0,1.0,3.0,2.0,MAPA,1.0,2.0
Fazenda Sol do Vale,180000000.0,Esfoliante natural,B2B,Interno,1.0,3.0,27.31,3.0,1.0,1.0,3.0,ANVISA,1.0,2.0
MangaTech Foods,760000000.0,Pectina,B2C,Interno,4.0,2.0,35.09,2.0,3.0,3.0,2.0,Nenhuma,3.0,3.0
MangaVale Alimentos,480000000.0,Bebida funcional com manga,B2B,Interno,2.0,3.0,21.62,3.0,2.0,5.0,3.0,ANVISA,2.0,5.0
Bunge Brasil,95000000000.0,Bebida alcoólica / fermentado,B2C,Interno,2.0,2.5,29.77,3.0,3.0,3.0,1.0,ANVISA,3.0,3.0
Citrosuco,25000000000.0,nao informado,nao informado,Externo,3.0,2.5,30.52,1.0,2.0,2.0,4.0,MAPA,2.0,3.0
